Station Name,Date,Time,Height
Goolmangar Ck at Nimbin,2024-01-01,18:16,5.56
Goolmangar Ck at Nimbin,2024-01-01,18:17,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:27,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:30,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:34,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:34,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:36,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:39,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:41,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:42,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:44,5.35
Goolmangar Ck at Nimbin,2024-01-01,18:46,5.36
Goolmangar Ck at Nimbin,2024-01-01,18:53,5.36
Goolmangar Ck at Nimbin,2024-01-01,18:53,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:00,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:03,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:06,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:09,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:11,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:11,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:11,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:11,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:13,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:14,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:15,5.36
Goolmangar Ck at Nimbin,2024-01-01,19:24,5.23
Goolmangar Ck at Nimbin,2024-01-01,19:27,5.23
Goolmangar Ck at Nimbin,2024-01-01,19:27,5.23
Goolmangar Ck at Nimbin,2024-01-01,19:29,5.23
Goolmangar Ck at Nimbin,2024-01-01,19:30,5.23
Goolmangar Ck at Nimbin,2024-01-01,19:32,5.23
Goolmangar Ck at Nimbin,2024-01-01,19:46,5.00
Goolmangar Ck at Nimbin,2024-01-01,20:15,4.82
Goolmangar Ck at Nimbin,2024-01-01,01:44,3.39
Goolmangar Ck at Nimbin,2024-01-01,01:46,3.24
Goolmangar Ck at Nimbin,2024-01-01,02:16,3.10
